state,state_code,region,division,investigation_all,investigation_ai,investigation_asian,investigation_black,investigation_hispanic,investigation_white,maltreatment_all,maltreatment_ai,maltreatment_asian,maltreatment_black,maltreatment_hispanic,maltreatment_white,placement_all,placement_ai,placement_asian,placement_black,placement_hispanic,placement_white,pop_under_five,pop_children,sh_nonwhite,sh_white,sh_hispanic,sh_black,sh_asian,sh_ai,pop_nonwhite,pop_white,pop_hispanic,pop_black,pop_asian,pop_ai
Alabama,AK,West,Pacific,0.32,0.1,0.1,0.37,0.23,0.32,0.12,0.03,0.02,0.12,0.08,0.12,0.05,0.02,0.02,0.06,0.03,0.05,"293,203","1,089,840",42.3,57.7,7.9,29.1,1.5,0.6,46100232,62883768,8609736,31714344,1634760,653904
Alaska,AL,South,East South Central,0.41,0.74,0.32,0.44,0.22,0.2,0.15,0.35,0.08,0.16,0.06,0.07,0.1,0.23,0.06,0.14,0.05,0.05,"53,115","183,816",51.1,48.9,9.8,3.3,5.7,19.9,9392997.6,8988602.4,1801396.8,606592.8,1047751.2,3657938.4
Arizona,AR,South,West South Central,0.4,0.32,0.23,0.66,0.37,0.38,0.09,0.09,0.03,0.18,0.09,0.09,0.1,0.09,0.03,0.19,0.09,0.09,"435,936","1,642,657",61.1,38.9,44.4,4.9,2.9,5.1,100366342.7,63899357.3,72933970.8,8049019.3,4763705.3,8377550.7
Arkansas,AZ,West,Mountain,0.64,0.39,0.5,0.73,0.5,0.63,0.17,0.14,0.09,0.2,0.09,0.17,0.08,0.1,0.04,0.1,0.04,0.08,"190,343","703,180",37,63,12.5,17.8,1.6,1.2,26017660,44300340,8789750,12516604,1125088,843816
California,CA,West,Pacific,0.31,0.18,0.14,0.52,0.37,0.24,0.1,0.09,0.03,0.21,0.12,0.08,0.05,0.08,0.01,0.15,0.04,0.04,"2,441,300","8,989,955",74.4,25.6,52.1,5.1,11.6,0.8,668852652,230142848,468376655.5,45848770.5,104283478,7191964
Colorado,CO,West,Mountain,0.28,0.17,0.18,0.47,0.31,0.25,0.1,0.07,0.05,0.2,0.13,0.09,0.05,0.05,0.02,0.11,0.07,0.04,"336,854","1,265,235",43.9,56.1,31.4,4.3,3.1,0.7,55543816.5,70979683.5,39728379,5440510.5,3922228.5,885664.5
Connecticut,CT,Northeast,New England,0.26,0.15,0.1,0.42,0.36,0.18,0.12,0.07,0.04,0.21,0.17,0.08,0.04,0.04,0.01,0.08,0.06,0.03,"183,134","735,193",45.5,54.5,24.7,11.4,5.1,0.3,33451281.5,40068018.5,18159267.1,8381200.2,3749484.3,220557.9
Delaware,DC,South,South Atlantic,0.43,0.08,0.12,0.59,0.43,0.34,0.09,0.02,0.02,0.15,0.09,0.07,0.03,0,0,0.05,0.02,0.02,"54,811","203,616",51.2,48.8,16.1,25.4,4,0.3,10425139.2,9936460.8,3278217.6,5171846.4,814464,61084.8
District of Columbia,DE,South,South Atlantic,0.58,0.02,0.03,0.72,0.14,0.32,0.13,0,0,0.19,0.02,0.04,0.04,0.02,0.02,0.06,0.01,0,"45,617","127,494",77.1,22.9,17.2,53.4,2.4,0.2,9829787.4,2919612.6,2192896.8,6808179.6,305985.6,25498.8
Florida,FL,South,South Atlantic,0.45,0.19,0.19,0.59,0.35,0.44,0.07,0.03,0.02,0.1,0.05,0.06,0.06,0.04,0.01,0.09,0.03,0.06,"1,143,183","4,229,081",58.5,41.5,31.8,20.1,2.7,0.3,247401238.5,175506861.5,134484775.8,85004528.1,11418518.7,1268724.3
Georgia,GA,South,South Atlantic,NA,NA,NA,NA,NA,NA,0.09,0.01,0.01,0.11,0.05,0.1,0.05,0.01,0.01,0.06,0.03,0.05,"657,414","2,505,751",56.4,43.6,14.9,33.6,4,0.3,141324356.4,109250743.6,37335689.9,84193233.6,10023004,751725.3
Hawaii,HI,West,Pacific,0.14,0.6,0.12,0.2,0.1,0.21,0.06,0.34,0.05,0.09,0.04,0.08,0.05,0.31,0.04,0.09,0.03,0.07,"87,704","303,414",85.9,14.1,18.6,1.9,23.6,11.1,26063262.6,4278137.4,5643500.4,576486.6,7160570.4,3367895.4
Idaho,IA,Midwest,West North Central,0.24,0.14,0.09,0.27,0.12,0.27,0.06,0.06,0.02,0.06,0.04,0.06,0.04,0.05,0.02,0.04,0.03,0.05,"116,339","446,972",25.3,74.7,18.4,0.9,1.2,1.3,11308391.6,33388808.4,8224284.8,402274.8,536366.4,581063.6
Illinois,ID,West,Mountain,0.44,0.14,0.17,0.69,0.38,0.37,0.12,0.03,0.03,0.22,0.09,0.1,0.03,0.01,0,0.07,0.01,0.02,"760,619","2,857,266",48.8,51.2,24.9,15.2,5.2,0.1,139434580.8,146292019.2,71145923.4,43430443.2,14857783.2,285726.6
Indiana,IL,Midwest,East North Central,0.6,0.45,0.29,0.81,0.55,0.56,0.19,0.13,0.05,0.32,0.16,0.17,0.1,0.08,0.02,0.18,0.08,0.09,"418,544","1,568,130",29.2,70.8,11.3,11.2,2.4,0.2,45789396,111023604,17719869,17563056,3763512,313626
Iowa,IN,Midwest,East North Central,0.34,0.48,0.21,0.65,0.37,0.29,0.14,0.29,0.07,0.31,0.15,0.12,0.08,0.22,0.04,0.17,0.07,0.07,"198,218","730,767",22.7,77.3,10.3,5.3,2.7,0.6,16588410.9,56488289.1,7526900.1,3873065.1,1973070.9,438460.2
Kansas,KS,Midwest,West North Central,0.3,0.29,0.17,0.49,0.27,0.29,0.06,0.06,0.02,0.09,0.05,0.06,0.08,0.14,0.01,0.14,0.06,0.08,"189,335","705,961",33.6,66.4,18.6,6.2,2.8,0.8,23720289.6,46875810.4,13130874.6,4376958.2,1976690.8,564768.8
Kentucky,KY,South,East South Central,0.54,0.5,0.23,0.7,0.51,0.52,0.21,0.17,0.05,0.28,0.17,0.2,0.08,0.07,0.02,0.12,0.07,0.08,"275,412","1,008,829",21.9,78.1,6.4,9.3,1.8,0.3,22093355.1,78789544.9,6456505.6,9382109.7,1815892.2,302648.7
